"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2025","1,060.71","1,075.05","1,075.72","1,056.46","","-1.32%"
"04/10/2025","1,074.88","1,073.27","1,074.88","1,074.88","","0.00%"
"03/10/2025","1,074.88","1,073.27","1,081.52","1,072.15","","-0.30%"
"02/10/2025","1,078.15","1,085.07","1,085.65","1,073.04","","-0.06%"
"01/10/2025","1,078.76","1,082.70","1,083.53","1,071.22","","-0.48%"
"30/09/2025","1,084.00","1,068.17","1,084.56","1,067.43","","1.25%"
"29/09/2025","1,070.57","1,076.88","1,076.88","1,063.26","","-0.26%"
"28/09/2025","1,073.31","1,081.61","1,073.31","1,073.31","","0.00%"
"26/09/2025","1,073.31","1,081.61","1,081.61","1,065.73","","-0.60%"
"25/09/2025","1,079.74","1,087.99","1,089.56","1,077.08","","-0.52%"
"24/09/2025","1,085.42","1,084.30","1,086.45","1,072.51","","0.59%"
"23/09/2025","1,079.00","1,083.14","1,087.10","1,077.98","","0.12%"
"22/09/2025","1,077.72","1,080.63","1,083.99","1,072.39","","-0.31%"
"19/09/2025","1,081.11","1,080.53","1,083.70","1,076.58","","0.32%"
"18/09/2025","1,077.65","1,085.98","1,086.07","1,071.18","","-0.58%"
"17/09/2025","1,083.97","1,081.92","1,085.41","1,073.47","","0.26%"
"16/09/2025","1,081.20","1,080.54","1,086.19","1,079.23","","-0.24%"
"15/09/2025","1,083.85","1,079.02","1,086.03","1,076.90","","0.69%"
"12/09/2025","1,076.45","1,081.65","1,083.28","1,070.94","","-0.33%"
"11/09/2025","1,080.05","1,089.86","1,092.26","1,077.70","","-0.72%"
"10/09/2025","1,087.89","1,094.48","1,095.51","1,086.89","","-0.32%"
"09/09/2025","1,091.35","1,098.00","1,103.99","1,090.35","","-0.34%"
"08/09/2025","1,095.10","1,102.73","1,105.84","1,090.39","","-0.32%"
"07/09/2025","1,098.63","1,102.48","1,098.63","1,098.63","","0.00%"
"05/09/2025","1,098.63","1,102.48","1,103.32","1,088.53","","-0.04%"
"04/09/2025","1,099.08","1,112.40","1,112.67","1,098.62","","-0.96%"
"03/09/2025","1,109.73","1,104.78","1,113.51","1,104.10","","0.73%"
"02/09/2025","1,101.73","1,119.10","1,120.38","1,099.17","","-0.59%"
"01/09/2025","1,108.29","1,103.17","1,117.04","1,098.97","","1.23%"
"29/08/2025","1,094.85","1,103.60","1,104.65","1,086.54","","-0.97%"
"28/08/2025","1,105.53","1,113.37","1,113.37","1,096.13","","-1.07%"
"27/08/2025","1,117.45","1,120.82","1,131.53","1,113.39","","-0.36%"
"26/08/2025","1,121.51","1,121.53","1,134.01","1,117.36","","-0.11%"
"25/08/2025","1,122.70","1,131.08","1,136.42","1,120.64","","-0.41%"
"22/08/2025","1,127.27","1,128.39","1,130.36","1,115.56","","-0.07%"
"21/08/2025","1,128.04","1,133.62","1,134.24","1,122.26","","-0.12%"
"20/08/2025","1,129.38","1,148.98","1,152.38","1,128.31","","-1.43%"
