"Date","Price","Open","High","Low","Vol.","Change %"
"22/01/2025","19.70","20.00","20.00","19.60","4.29K","-1.50%"
"21/01/2025","20.00","20.30","20.40","20.00","1.04K","0.50%"
"20/01/2025","19.90","19.95","20.30","19.90","0.27K","-0.25%"
"17/01/2025","19.95","19.85","20.00","19.85","1.00K","0.50%"
"16/01/2025","19.85","19.95","20.00","19.85","0.49K","0.25%"
"15/01/2025","19.80","19.80","19.80","19.80","0.37K","0.00%"
"14/01/2025","19.80","20.10","20.10","19.80","1.16K","-0.75%"
"13/01/2025","19.95","19.90","19.95","19.90","1.01K","0.25%"
"10/01/2025","19.90","19.90","19.90","19.90","0.44K","0.51%"
"09/01/2025","19.80","19.85","20.10","19.65","1.31K","-0.25%"
"08/01/2025","19.85","20.00","20.00","19.85","0.10K","-0.75%"
"07/01/2025","20.00","20.00","20.00","19.80","0.67K","0.00%"
"03/01/2025","20.00","20.40","20.40","19.95","0.69K","0.25%"
"02/01/2025","19.95","20.00","20.40","19.95","0.88K","0.25%"
"30/12/2024","19.90","19.90","20.40","19.60","1.78K","-1.00%"
"27/12/2024","20.10","19.50","20.40","19.50","0.99K","3.61%"
"23/12/2024","19.40","19.40","19.90","19.40","1.42K","-1.77%"
"20/12/2024","19.75","19.55","19.75","19.50","0.84K","0.77%"
"19/12/2024","19.60","19.65","19.75","19.60","0.98K","-0.25%"
"18/12/2024","19.65","19.50","20.10","19.50","0.85K","-0.76%"
"17/12/2024","19.80","19.80","19.90","19.75","0.52K","0.51%"
"16/12/2024","19.70","19.45","19.70","19.30","0.95K","-0.51%"
"13/12/2024","19.80","20.70","20.70","19.60","2.69K","-3.88%"
"12/12/2024","20.60","20.60","20.80","20.60","0.89K","-0.48%"
"11/12/2024","20.70","20.80","21.00","20.70","0.76K","0.00%"
"10/12/2024","20.70","20.80","20.80","20.50","0.59K","-0.96%"
"09/12/2024","20.90","20.30","21.20","20.10","2.87K","2.96%"
"05/12/2024","20.30","20.40","20.50","19.95","2.91K","-0.49%"
"04/12/2024","20.40","19.95","20.50","19.95","1.41K","1.49%"
"03/12/2024","20.10","20.40","20.40","19.75","1.42K","1.26%"
