"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2025","19.00","19.15","19.15","18.85","0.54K","-0.52%"
"04/28/2025","19.10","19.05","19.30","18.90","2.23K","-1.04%"
"04/25/2025","19.30","19.30","19.30","19.00","0.40K","-0.26%"
"04/24/2025","19.35","19.30","19.35","19.25","0.45K","1.57%"
"04/23/2025","19.05","19.45","19.45","19.05","0.17K","-1.04%"
"04/22/2025","19.25","19.15","19.25","18.95","0.51K","1.58%"
"04/17/2025","18.95","19.55","19.55","18.95","1.17K","0.00%"
"04/16/2025","18.95","19.00","19.40","18.85","1.60K","-0.26%"
"04/15/2025","19.00","18.70","19.00","18.70","0.54K","1.60%"
"04/14/2025","18.70","18.80","18.80","18.50","0.37K","2.75%"
"04/11/2025","18.20","18.30","18.30","18.00","1.01K","-3.70%"
"04/10/2025","18.90","18.90","18.90","17.75","4.76K","6.18%"
"04/09/2025","17.80","17.90","18.05","17.60","3.16K","-3.78%"
"04/08/2025","18.50","18.35","18.50","18.00","0.55K","2.49%"
"04/07/2025","18.05","17.80","18.15","16.85","3.61K","-2.17%"
"04/04/2025","18.45","18.50","19.35","18.40","1.17K","-1.60%"
"04/03/2025","18.75","19.00","19.00","18.60","0.40K","-1.32%"
"04/02/2025","19.00","19.00","19.00","18.75","0.33K","0.00%"
"04/01/2025","19.00","19.30","19.30","19.00","0.24K","-1.55%"
"03/31/2025","19.30","19.35","19.35","19.00","0.74K","-0.26%"
"03/28/2025","19.35","19.35","19.50","19.35","0.13K","0.00%"
"03/27/2025","19.35","19.40","19.80","19.35","0.20K","-0.26%"
"03/26/2025","19.40","19.35","19.40","19.25","0.65K","-2.02%"
"03/25/2025","19.80","19.30","19.85","19.25","0.06K","0.76%"
"03/24/2025","19.65","19.25","19.65","19.20","0.58K","2.08%"
"03/21/2025","19.25","19.30","19.50","19.25","0.56K","0.00%"
"03/20/2025","19.25","19.25","19.80","19.25","0.04K","-1.79%"
"03/19/2025","19.60","19.50","19.90","19.15","0.39K","0.26%"
"03/18/2025","19.55","19.90","19.90","19.05","0.52K","-2.01%"
"03/17/2025","19.95","19.35","19.95","19.35","0.61K","2.84%"
"03/14/2025","19.40","19.50","19.55","19.00","0.64K","0.26%"
"03/13/2025","19.35","19.30","19.70","19.30","0.34K","-1.78%"
"03/12/2025","19.70","18.75","19.70","18.75","0.48K","3.96%"
"03/11/2025","18.95","19.00","19.20","18.90","0.70K","0.53%"
"03/10/2025","18.85","18.80","19.25","18.70","1.41K","-1.31%"
"03/07/2025","19.10","18.90","19.10","18.55","1.29K","-0.52%"
"03/06/2025","19.20","18.95","19.25","18.90","0.84K","1.32%"
"03/05/2025","18.95","19.25","19.25","18.85","0.57K","-0.26%"
"03/04/2025","19.00","19.20","19.20","18.75","1.89K","-2.06%"
"03/03/2025","19.40","19.25","19.50","19.10","0.90K","0.52%"
"02/28/2025","19.30","19.35","19.80","19.30","0.41K","-2.28%"
"02/27/2025","19.75","19.35","19.75","19.30","0.51K","2.07%"
"02/26/2025","19.35","19.55","19.60","19.25","0.56K","-0.26%"
"02/25/2025","19.40","19.30","19.50","19.10","1.55K","-0.77%"
"02/24/2025","19.55","19.35","19.90","19.25","1.39K","-0.51%"
"02/21/2025","19.65","19.30","19.80","19.25","0.51K","-0.76%"
"02/20/2025","19.80","19.45","19.80","19.20","0.41K","1.28%"
"02/19/2025","19.55","19.65","19.75","19.55","0.82K","-0.51%"
"02/18/2025","19.65","19.55","20.10","19.55","0.57K","0.26%"
"02/17/2025","19.60","19.40","19.80","19.40","0.44K","0.51%"
"02/14/2025","19.50","19.70","19.70","19.40","0.52K","0.26%"
"02/13/2025","19.45","19.65","19.70","19.30","1.52K","-1.27%"
"02/12/2025","19.70","19.55","19.70","19.55","0.12K","0.51%"
"02/11/2025","19.60","19.60","19.60","19.60","0.02K","0.51%"
"02/10/2025","19.50","19.45","19.50","19.20","1.47K","0.52%"
"02/07/2025","19.40","19.35","20.10","19.35","1.26K","0.52%"
"02/06/2025","19.30","19.35","19.75","19.30","1.27K","-0.52%"
"02/05/2025","19.40","19.50","19.95","19.35","1.98K","-0.51%"
"02/04/2025","19.50","19.70","19.80","19.30","4.79K","-4.88%"
"02/03/2025","20.50","20.60","20.60","19.90","1.02K","-0.49%"
"01/31/2025","20.60","20.50","20.60","20.50","0.14K","0.49%"
"01/30/2025","20.50","21.10","21.10","20.50","1.57K","0.00%"
"01/29/2025","20.50","20.80","21.30","20.50","1.37K","0.49%"
"01/28/2025","20.40","20.40","20.40","20.40","0.57K","3.82%"
"01/27/2025","19.65","19.90","20.30","19.65","1.18K","-1.26%"
"01/24/2025","19.90","19.80","19.95","19.75","0.85K","0.76%"
"01/23/2025","19.75","19.80","19.80","19.75","0.38K","0.25%"
"01/22/2025","19.70","20.00","20.00","19.60","4.29K","-1.50%"
"01/21/2025","20.00","20.30","20.40","20.00","1.04K","0.50%"
"01/20/2025","19.90","19.95","20.30","19.90","0.27K","-0.25%"
"01/17/2025","19.95","19.85","20.00","19.85","1.00K","0.50%"
"01/16/2025","19.85","19.95","20.00","19.85","0.49K","0.25%"
"01/15/2025","19.80","19.80","19.80","19.80","0.37K","0.00%"
"01/14/2025","19.80","20.10","20.10","19.80","1.16K","-0.75%"
"01/13/2025","19.95","19.90","19.95","19.90","1.01K","0.25%"
"01/10/2025","19.90","19.90","19.90","19.90","0.44K","0.51%"
"01/09/2025","19.80","19.85","20.10","19.65","1.31K","-0.25%"
"01/08/2025","19.85","20.00","20.00","19.85","0.10K","-0.75%"
"01/07/2025","20.00","20.00","20.00","19.80","0.67K","0.00%"
"01/03/2025","20.00","20.40","20.40","19.95","0.69K","0.25%"
"01/02/2025","19.95","20.00","20.40","19.95","0.88K","0.25%"
"12/30/2024","19.90","19.90","20.40","19.60","1.78K","-1.00%"
"12/27/2024","20.10","19.50","20.40","19.50","0.99K","3.61%"
"12/23/2024","19.40","19.40","19.90","19.40","1.42K","-1.77%"
"12/20/2024","19.75","19.55","19.75","19.50","0.84K","0.77%"
"12/19/2024","19.60","19.65","19.75","19.60","0.98K","-0.25%"
"12/18/2024","19.65","19.50","20.10","19.50","0.85K","-0.76%"
"12/17/2024","19.80","19.80","19.90","19.75","0.52K","0.51%"
"12/16/2024","19.70","19.45","19.70","19.30","0.95K","-0.51%"
"12/13/2024","19.80","20.70","20.70","19.60","2.69K","-3.88%"
"12/12/2024","20.60","20.60","20.80","20.60","0.89K","-0.48%"
"12/11/2024","20.70","20.80","21.00","20.70","0.76K","0.00%"
"12/10/2024","20.70","20.80","20.80","20.50","0.59K","-0.96%"
"12/09/2024","20.90","20.30","21.20","20.10","2.87K","2.96%"
"12/05/2024","20.30","20.40","20.50","19.95","2.91K","-0.49%"
"12/04/2024","20.40","19.95","20.50","19.95","1.41K","1.49%"
"12/03/2024","20.10","20.40","20.40","19.75","1.42K","1.26%"
"12/02/2024","19.85","19.65","20.10","19.65","2.72K","1.02%"
"11/29/2024","19.65","20.70","20.70","19.50","1.38K","0.00%"
"11/28/2024","19.65","20.00","20.10","19.45","2.66K","0.26%"
"11/27/2024","19.60","19.90","19.95","19.40","2.32K","-0.51%"
"11/26/2024","19.70","19.55","19.70","19.55","1.20K","0.25%"
"11/25/2024","19.65","19.90","19.90","19.60","0.54K","-1.75%"
"11/22/2024","20.00","20.00","20.00","19.50","0.78K","2.83%"
"11/21/2024","19.45","20.10","20.40","19.40","4.42K","-2.02%"
"11/20/2024","19.85","20.00","20.20","19.70","5.14K","-0.25%"
"11/19/2024","19.90","19.45","20.00","18.95","6.01K","3.92%"
"11/18/2024","19.15","19.40","19.60","19.10","1.52K","-1.29%"
"11/15/2024","19.40","19.30","19.45","19.30","0.25K","0.26%"
"11/14/2024","19.35","19.35","19.55","19.35","0.15K","0.52%"
"11/13/2024","19.25","19.40","19.50","19.20","0.88K","-0.52%"
"11/12/2024","19.35","19.35","19.55","19.35","2.29K","-1.02%"
"11/11/2024","19.55","19.25","19.60","19.20","3.23K","1.82%"
"11/08/2024","19.20","19.25","19.40","19.20","1.25K","-1.03%"
"11/07/2024","19.40","19.20","19.60","19.20","1.44K","0.26%"
"11/06/2024","19.35","19.50","19.50","19.30","2.19K","-0.77%"
"11/05/2024","19.50","19.30","19.55","19.15","1.02K","-0.26%"
"11/04/2024","19.55","19.50","19.55","19.20","2.84K","0.26%"
"11/01/2024","19.50","19.05","19.60","19.05","18.77K","2.90%"
"10/31/2024","18.95","19.55","19.55","18.95","2.44K","0.26%"
"10/30/2024","18.90","19.00","19.10","18.90","0.43K","-0.79%"
"10/29/2024","19.05","18.95","19.10","18.95","4.21K","0.53%"
"10/28/2024","18.95","19.25","19.55","18.95","2.45K","-0.52%"
"10/25/2024","19.05","19.25","19.25","19.00","1.61K","-0.78%"
"10/24/2024","19.20","19.20","19.40","19.00","4.62K","-1.29%"
"10/23/2024","19.45","19.60","19.60","19.30","1.20K","0.26%"
"10/22/2024","19.40","19.10","19.60","19.05","10.23K","3.19%"
"10/21/2024","18.80","18.70","19.00","18.40","1.20K","0.27%"
"10/18/2024","18.75","18.80","18.80","18.75","0.16K","0.00%"
"10/17/2024","18.75","18.50","19.00","18.50","0.51K","1.63%"
"10/16/2024","18.45","18.45","18.45","18.45","0.04K","0.54%"
"10/15/2024","18.35","19.05","19.05","18.35","0.95K","-0.81%"
"10/14/2024","18.50","18.70","18.80","18.20","2.41K","-2.12%"
"10/11/2024","18.90","19.05","19.05","18.80","2.08K","-0.26%"
"10/10/2024","18.95","19.00","19.00","18.90","0.22K","0.26%"
"10/09/2024","18.90","18.90","19.00","18.70","0.56K","-0.53%"
"10/08/2024","19.00","18.70","19.00","18.70","0.10K","1.60%"
